dataset,parameter,full_data_estimate,bootstrap_mean,bootstrap_se,ci_lower,ci_upper,n_valid
rand,beta_1_17,0,-0.0838276346281763,0.137807289323198,-0.438511724579284,0,500
rand,beta_1_18,0,-0.0207620685293236,0.0484543367153906,-0.166644149190545,0.0032049693673251,500
rand,beta_1_19,0,-0.0298465221363568,0.0775744319229062,-0.251727718322344,0,500
rand,beta_1_20,0,-0.0007129305839809,0.0116524749029462,0,0,500
rand,beta_1_21,0,0,0,0,0,500
rand,beta_1_22,0,0,0,0,0,500
rand,beta_1_23,0,0.0677940162814718,0.107897358641274,0,0.337907451584349,500
rand,beta_1_24,0,0.018304515115021,0.0687566434308989,0,0.274493428066426,500
rand,beta_1_25,0,0.0107856919336529,0.0362389993043101,0,0.117082695145855,500
rand,beta_1_26,0,-0.0215121466402776,0.11059685053942,-0.237485666269766,0.185250624599894,500
rand,beta_1_27,0,0.0660658054682543,0.180452237654309,0,0.595007814249255,500
rand,beta_1_28,0,-0.0207621708285068,0.0484545932333832,-0.166644750378014,0.00320518124109,500
rand,beta_1_29,0,-0.0006833771159092,0.0111770202556148,0,0,500
rand,beta_1_30,0,-0.0013982488592934,0.0201266090911367,0,0,500
rand,beta_1_31,0,-0.0004819632858893,0.0107770266990783,0,0,500
rand,beta_1_32,0,-0.101445612958219,0.212073017152388,-0.72642824839212,0,500
rand,beta_1_33,0,-0.0246274649082474,0.101765189715268,-0.312745715039836,0,500
rand,beta_1_34,0,-0.0011676417578148,0.032285817741467,0,0,500
rand,beta_1_35,0,0.0056741066336788,0.0314617568648481,0,0.160962179041239,500
rand,beta_1_36,0,-0.0009109878802757,0.0148490298753799,0,0,500
rand,beta_1_37,0,0.0305695736760411,0.0880895456914973,0,0.306630308474119,500
rand,beta_1_38,0.216024787259545,0.197545864179185,0.175218823936826,0,0.673857503837089,500
rand,beta_1_39,0,0.0632271617177457,0.138019859362298,0,0.46761034838653,500
rand,beta_1_40,0,0.143471669122813,0.171948469184158,0,0.483195844555409,500
rand,beta_1_41,0,-0.0291425924879288,0.107971270239236,-0.375775439620003,0,500
rand,beta_1_42,0,-0.0553194364641445,0.127796498068492,-0.432470190928606,0,500
rand,beta_1_43,0,-0.0018856286887305,0.0324964426279748,0,0,500
rand,beta_1_44,0,0.0026528115434325,0.025853385444091,0,0,500
rand,beta_1_45,0,-0.102420425883705,0.228846944307481,-0.7447023786149,0,500
rand,beta_1_46,0,0.024173869310802,0.0966803295018589,-0.0797188746819655,0.282145424578765,500
