dataset,families,K,lambda,nonidentical,splits_observed,bic_wins,mean_delta_bic,median_delta_bic,max_delta_bic,mean_test_loglik_per_obs,mean_test_rmse,mean_test_mae,mean_rmse_skill,mean_mae_skill,finite_prediction_rate,stable_prediction_rate,median_min_pi
bird_counts,nb2+nb2,2,5.0,False,3,0,1264.7972447225354,862.8733214481836,2422.403712308369,-2.5824155608559707,inf,1.0711666978255159e+301,-inf,-4.804145389514594e+298,1.0,0.0,0.3694869772490911
bird_counts,nb2+nb2+zinb,3,50.0,True,3,0,1278.4031335719799,1191.5127964032072,1885.9773681514635,-2.5798373759462256,1799.677651210347,190.692705629696,0.15541267281404225,0.1983910463435277,1.0,1.0,0.048585631062299406
bird_counts,nb2+zinb,2,25.0,True,3,0,1342.8031665035305,967.7323085941462,2418.257004041945,-2.586245231031859,1630.1156229520172,187.03509434554857,0.2342419518676214,0.21070368860384014,1.0,1.0,0.34657522526224604
bird_counts,zinb+zinb,2,2.0,False,3,0,1419.8261436576624,1508.1765565158566,1990.3437603037528,-2.6001007547919244,inf,1.874259565576001e+301,-inf,-8.422490832927156e+298,1.0,0.0,0.4130767093556809
bird_counts,nb2+nb2+zip,3,10.0,True,3,0,1495.697978644491,1669.6385389970092,1684.6109699923472,-2.577198514867698,inf,1.4431384987620387e+171,-inf,-5.4284844651113995e+168,1.0,0.3333333333333333,0.18369633876119026
bird_counts,zip+zinb+zinb,3,25.0,True,3,0,1499.5287836483694,1531.6195841165609,1589.415195677575,-2.5873573416736586,inf,7.702681611815659e+300,-inf,-3.461407718334692e+298,1.0,0.6666666666666666,0.2810921607448535
bird_counts,nb2+zip+zinb,3,2.0,True,3,0,1566.9701818471342,1671.8876847674546,1943.78309468706,-2.5888290590183374,inf,9.801017260164054e+300,-inf,-4.395722157770064e+298,1.0,0.6666666666666666,0.15731338195906586
bird_counts,zinb+zinb,2,0.0,False,3,0,1574.4932285114967,1502.198755621197,2466.682352281103,-2.629426505641911,inf,1.798926872113924e+301,-inf,-8.0839630581420975e+298,1.0,0.0,0.4227715220629427
bird_counts,nb2+zip+zinb,3,5.0,True,3,0,1589.2579289483401,1754.9686805836172,1991.7194456488214,-2.5856986916608915,2.554274228586602e+55,1.4954667677537128e+54,-1.1833476868776454e+52,-6.707116447944853e+51,1.0,0.6666666666666666,0.17974520857555412
bird_counts,poisson+zinb+zinb,3,25.0,True,3,0,1589.664707833884,1514.0927058701855,1765.2584643623413,-2.5863675412739933,inf,7.771738659301905e+300,-inf,-3.4924403650440705e+298,1.0,0.6666666666666666,0.2844046952925766
bird_counts,nb2+nb2+zip,3,50.0,True,3,0,1668.8898678414505,1679.3040107266424,1749.9444572610664,-2.6039420633554013,1648.1866573204968,188.67224958768983,0.22563848078556817,0.20563638512474944,1.0,1.0,0.09863395317686781
bird_counts,nb2+zip+zinb,3,0.0,True,3,0,1675.4908109581131,1767.69287293886,2096.2095361810934,-2.620793377986345,inf,2.1121176417261244e+165,-inf,-7.944904675769841e+162,1.0,0.0,0.14823283002571885
bird_counts,poisson+nb2+nb2,3,0.0,True,3,0,1691.0695786316744,1738.6676265273854,2211.2198593035864,-2.6213576154088867,inf,9.457731623873993e+300,-inf,-4.2417597436829405e+298,1.0,0.0,0.30476641048058106
bird_counts,zip+zinb+zinb,3,10.0,True,3,0,1693.2755766994305,1638.0269917631522,2131.670074699585,-2.591221432082884,3.7719322069084216e+16,2331190039939780.5,-16321126460272.744,-8768963566483.633,1.0,0.6666666666666666,0.28692208568834504
bird_counts,poisson+nb2+zinb,3,50.0,True,3,0,1705.8260557402803,1650.589187205267,1971.61502315267,-2.602385154176245,1668.74957173315,194.81880270419046,0.21726608215993315,0.18057918616000476,1.0,1.0,0.08662701012275961
bird_counts,poisson+zinb+zinb,3,10.0,True,3,0,1712.370431089735,1716.5329468475175,2121.283741665553,-2.5898756463100154,171809811.98351565,10691303.086342702,-74341.05491503034,-40215.30303219638,1.0,0.6666666666666666,0.29849536633028995
bird_counts,poisson+nb2+nb2,3,25.0,True,3,0,1721.4019943816409,1805.2085259916494,1891.3285521380822,-2.5991309675402836,1664.7258441866536,192.35987954711734,0.21846313871825093,0.19181611508497573,1.0,1.0,0.1901746472326279
bird_counts,zinb+zinb,2,25.0,False,3,0,1734.038732896753,1754.937074588779,2056.3279643694113,-2.597556801926178,inf,1.0036840527533384e+207,-inf,-4.5103249777851437e+204,1.0,0.6666666666666666,0.223488109638104
bird_counts,poisson+nb2+nb2,3,50.0,True,3,0,1760.2273914960217,1616.3756317447987,2124.070021511601,-2.6014638937223573,1663.0781302886642,192.10961029760463,0.21978499429729403,0.19267449162302486,1.0,1.0,0.08911071688953762
bird_counts,poisson+nb2+zinb,3,25.0,True,3,0,1774.3598039873832,1787.3491721255923,1830.8595331370743,-2.602494329778042,1651.5443830275901,193.4967930443436,0.22428076408952302,0.18486042543457679,1.0,1.0,0.17792677585308617
bird_counts,zip+zinb+zinb,3,5.0,True,3,0,1781.1992405492663,1696.0963854361326,2158.475051611851,-2.596352241942798,1.6582921611255192e+127,1.1004025825316982e+126,-8.689070483682961e+123,-4.9449557756714974e+123,1.0,0.0,0.2929380085067939
bird_counts,nb2+zip+zinb,3,25.0,True,3,0,1792.7490072079938,1627.3295925245839,2185.5759179119486,-2.5970790099266647,1705.7800476260206,196.0638391918809,0.199254819343067,0.17773571497856022,1.0,1.0,0.11283229444732173
bird_counts,poisson+nb2+zinb,3,0.0,True,3,0,1800.692353488339,1748.3079877259297,2220.6166896690265,-2.623418549176232,inf,9.956723155297908e+230,-inf,-4.474322073993939e+228,1.0,0.0,0.30568413784829207
bird_counts,poisson+nb2+zinb,3,5.0,True,3,0,1801.3743668363725,1802.6742250425596,1945.1173812338966,-2.5889938262016963,1713.1904802985873,199.1200152096751,0.19479179026078072,0.16206695678191188,1.0,1.0,0.132289143308954
bird_counts,poisson+zinb+zinb,3,5.0,True,3,0,1826.2176524567403,1753.2015112513254,2151.713330704937,-2.5941918734917624,1.9000569971113762e+127,1.2605113052359062e+126,-9.955862759256021e+123,-5.66444750137249e+123,1.0,0.0,0.3030172161780949
bird_counts,zip+zinb+zinb,3,2.0,True,3,0,1840.758779910393,1680.4447463520046,2304.7780610521368,-2.601254620136564,1.5116190912243241e+62,9.282897261739622e+60,-6.540766109860035e+58,-3.4918383522999556e+58,1.0,0.0,0.2987026657550143
bird_counts,nb2+nb2,2,25.0,False,3,0,1859.6006178125124,2358.2993867688783,2376.9857968400975,-2.610879622781248,1672.620277240654,195.725098576865,0.21658909064321216,0.17995691509490228,1.0,1.0,0.22102205861335794
bird_counts,poisson+zinb+zinb,3,2.0,True,3,0,1865.6823504506804,1691.691409323801,2286.367430780032,-2.6002554292300615,1.4000808320182468e+62,8.665985894998703e+60,-6.058140777854598e+58,-3.259782054614287e+58,1.0,0.0,0.30396555472551123
bird_counts,nb2+nb2+zip,3,0.0,True,3,0,1897.8612719805485,2084.0139786170766,2456.71446255903,-2.632552393745134,inf,1.8638012224061048e+301,-inf,-8.36659853589735e+298,1.0,0.0,0.16935611291300798
bird_counts,zip+zinb+zinb,3,0.0,True,3,0,1898.0074241769519,1742.4294309922043,2418.6715525550317,-2.6295913744677453,4.701601179379187e+69,2.8794249363122953e+68,-2.034379813981706e+66,-1.083119433694983e+66,1.0,0.0,0.29994466942333836
bird_counts,poisson+nb2+zinb,3,2.0,True,3,0,1906.0364486325052,1798.0932533683372,2246.7758221515032,-2.599574010297259,inf,9.812683978803784e+300,-inf,-4.400954640508521e+298,1.0,0.0,0.15175014210879692
bird_counts,nb2+nb2+zip,3,2.0,True,3,0,1908.3188445687654,1917.945840182183,2063.8381305604053,-2.598085502313182,inf,9.541818603214739e+300,-inf,-3.5892337499758675e+298,1.0,0.0,0.17035263788625152
bird_counts,poisson+zinb+zinb,3,50.0,True,3,0,1921.4212628684156,1903.2576837234446,2224.063372576238,-2.605198960168059,1610.5277753561488,185.95822622366964,0.24269309826981797,0.21774487247794194,1.0,1.0,0.21249731529928576
bird_counts,nb2+nb2+zip,3,25.0,True,3,0,1930.4323251894239,1798.7427700818735,2299.811134361007,-2.5987120849228114,1669.4004362592634,193.37581752092547,0.2158551156876993,0.18664961456659926,1.0,1.0,0.19820160312445062
bird_counts,zip+zinb+zinb,3,50.0,True,3,0,1932.3959381343327,1874.1049497396962,2300.2421924557493,-2.614422531050713,1586.6590364611513,184.82761890086542,0.25375967600225185,0.22170446443827999,1.0,1.0,0.21935417713275848
bird_counts,poisson+zinb+zinb,3,0.0,True,3,0,1935.8900831030332,1797.6349292439118,2394.4533740717307,-2.6283403348443843,4.61084618728386e+69,2.8404021564168266e+68,-1.9951101871263754e+66,-1.0684406932532493e+66,1.0,0.0,0.3043730029659648
