parameter,full_data_estimate,bootstrap_mean,bootstrap_se,ci_lower,ci_upper,n_valid
beta_1_40,0.0,0.011555974620856935,0.06506261153766657,0.0,0.274232096138788,500
beta_1_41,0.0,-0.0023467234583574217,0.03019096631131921,0.0,0.0,500
beta_1_42,0.0,-0.00290046471163119,0.03033138016878727,0.0,0.0,500
beta_1_43,0.0,0.0,0.0,0.0,0.0,500
beta_1_44,0.0,0.0,0.0,0.0,0.0,500
beta_1_45,0.0,-0.0005666048658965275,0.012669669965267878,0.0,0.0,500
beta_1_46,0.0,0.004744134769577213,0.03636948740420588,0.0,0.0,500
beta_1_47,0.0,0.0009691807246363975,0.015657005453393047,0.0,0.0,500
beta_1_48,0.0,-0.00814923483229857,0.04960473478018034,-0.19524738947454098,0.0,500
beta_1_49,0.0,-0.03174661110324295,0.1113901550021164,-0.4755479588104209,0.0,500
beta_1_50,0.0,0.19648621094943575,0.2690492756949122,0.0,0.7004342302848023,500
beta_1_51,0.0,0.0,0.0,0.0,0.0,500
beta_1_52,0.0,0.0,0.0,0.0,0.0,500
beta_1_53,0.0,0.003582949876094534,0.02349791046408382,0.0,0.0,500
beta_1_54,0.0,0.0,0.0,0.0,0.0,500
extra_1_log_alpha,2.33747435818562,2.064200434776427,0.27851168721153047,1.4655567148965154,2.4980854619282575,500
alpha_1,10.355050359988201,8.183695675956086,2.2846063969039556,4.329953761763257,12.159234770818735,500
