example_id,n,rank,K,families,bic,is_true_structure,is_equiv_structure
4,1000,5,2,zip + nb2,4928.618513771742,False,False
4,1000,6,3,poisson + poisson + nb2,4950.235356016368,False,False
4,1000,7,3,nb2 + poisson + poisson,4955.61190104916,False,False
4,1000,8,3,zip + poisson + poisson,4963.513296496534,False,False
4,1000,9,3,poisson + zip + poisson,4963.908576422702,False,False
4,1000,10,3,poisson + poisson + zip,4964.031346581443,False,False
4,1500,1,2,zip + poisson,7373.684071168717,True,True
4,1500,2,2,poisson + zip,7373.794052713184,True,True
4,1500,3,2,nb2 + zip,7380.7624079001225,False,False
4,1500,4,2,zip + nb2,7380.824613223229,False,False
4,1500,5,2,zip + zip,7380.9989448771685,False,True
4,1500,6,3,poisson + poisson + poisson,7407.853401282374,False,False
4,1500,7,3,poisson + poisson + zip,7415.082249008231,False,False
4,1500,8,3,poisson + zip + poisson,7415.150348978253,False,False
4,1500,9,3,zip + poisson + poisson,7417.149685174046,False,False
4,1500,10,3,poisson + poisson + nb2,7417.294981540893,False,False
1,500,1,2,student_t + gaussian,1913.7580539623798,True,True
1,500,2,2,gaussian + student_t,1916.6398681323578,True,True
1,500,3,2,student_t + skew_normal,1919.9726174534774,False,False
1,500,4,2,student_t + student_t,1921.6956081373382,False,True
1,500,5,2,skew_normal + student_t,1922.8543385206224,False,False
1,500,6,3,student_t + gaussian + gaussian,1944.8471968234865,False,False
1,500,7,3,gaussian + gaussian + student_t,1945.2218519526978,False,False
1,500,8,3,gaussian + student_t + gaussian,1948.4312996567655,False,False
1,500,9,3,student_t + student_t + gaussian,1948.5597048820564,False,False
1,500,10,3,gaussian + student_t + student_t,1950.2570321486844,False,False
1,1000,1,2,student_t + gaussian,3712.8822385238163,True,True
1,1000,2,2,student_t + student_t,3717.9793729733988,False,True
1,1000,3,2,gaussian + gaussian,3718.0362266736024,False,False
1,1000,4,2,student_t + skew_normal,3719.790484250308,False,False
1,1000,5,2,gaussian + student_t,3722.213705188434,True,True
1,1000,6,2,skew_normal + gaussian,3724.9439021642934,False,False
1,1000,7,2,gaussian + skew_normal,3724.9450248662943,False,False
1,1000,8,2,skew_normal + student_t,3729.121450604181,False,False
1,1000,9,2,skew_normal + skew_normal,3731.8527003528134,False,False
1,1000,10,3,student_t + gaussian + gaussian,3756.5108223087973,False,False
1,1500,1,2,student_t + gaussian,5687.1103187212975,True,True
1,1500,2,2,student_t + student_t,5692.749099319854,False,True
1,1500,3,2,student_t + skew_normal,5694.423592602915,False,False
1,1500,4,2,gaussian + student_t,5720.836075465908,True,True
1,1500,5,2,skew_normal + student_t,5728.14846150457,False,False
1,1500,6,3,student_t + gaussian + gaussian,5736.303049545688,False,False
1,1500,7,3,student_t + student_t + gaussian,5738.279409825153,False,False
1,1500,8,3,student_t + gaussian + student_t,5740.068042330204,False,False
1,1500,9,3,student_t + skew_normal + gaussian,5743.575086293653,False,False
1,1500,10,3,student_t + gaussian + skew_normal,5743.616314861845,False,False
2,500,1,3,lognormal + inverse_gaussian + gamma,1175.2706528326148,False,False
2,500,2,3,inverse_gaussian + lognormal + gamma,1175.270755558398,False,False
2,500,3,3,lognormal + lognormal + gamma,1176.274658722591,False,False
2,500,4,2,inverse_gaussian + lognormal,1194.0529603665925,False,False
2,500,5,2,lognormal + inverse_gaussian,1194.0529603665925,False,False
2,500,6,2,lognormal + gamma,1194.5805911978514,True,True
2,500,7,2,gamma + lognormal,1194.5805911978514,True,True
2,500,8,2,lognormal + lognormal,1195.2442686629422,False,False
2,500,9,2,inverse_gaussian + inverse_gaussian,1214.0602890781547,False,False
2,500,10,2,inverse_gaussian + gamma,1214.5197738819872,False,False
2,1000,1,2,lognormal + gamma,2200.092179610431,True,True
2,1000,2,2,gamma + lognormal,2200.092179610431,True,True
2,1000,3,2,lognormal + lognormal,2206.253439282444,False,False
2,1000,4,2,gamma + inverse_gaussian,2237.425567718834,False,False
2,1000,5,2,inverse_gaussian + gamma,2237.4357273693154,False,False
2,1000,6,3,lognormal + gamma + lognormal,2243.5362349810066,False,False
2,1000,7,3,gamma + lognormal + lognormal,2243.5362349810066,False,False
2,1000,8,3,lognormal + lognormal + gamma,2243.536236452637,False,False
2,1000,9,2,inverse_gaussian + lognormal,2244.1085953035054,False,False
2,1000,10,2,lognormal + inverse_gaussian,2244.1085953035054,False,False
2,1500,1,2,gamma + lognormal,3547.0989203415447,True,True
2,1500,2,2,lognormal + gamma,3547.101102805401,True,True
2,1500,3,2,lognormal + lognormal,3548.045476332805,False,False
2,1500,4,2,inverse_gaussian + lognormal,3564.66883615753,False,False
2,1500,5,2,lognormal + inverse_gaussian,3564.66883615753,False,False
2,1500,6,3,gamma + lognormal + lognormal,3591.7672546299646,False,False
2,1500,7,3,lognormal + inverse_gaussian + lognormal,3592.8639718400577,False,False
2,1500,8,3,gamma + gamma + lognormal,3593.9293315300733,False,False
2,1500,9,3,lognormal + lognormal + gamma,3595.087617691279,False,False
2,1500,10,3,lognormal + gamma + lognormal,3595.2597560879076,False,False
3,500,1,2,poisson + zip,2750.0466429669164,False,False
3,500,2,2,zip + poisson,2750.4273912135322,False,False
3,500,3,2,nb2 + nb2,2751.094957259197,False,True
3,500,4,2,nb2 + zip,2755.3147114959347,False,False
3,500,5,2,zip + nb2,2755.316361788711,False,False
3,500,6,2,zip + zip,2756.167822899558,False,False
3,500,7,2,poisson + poisson,2760.8274565785932,False,False
3,500,8,3,poisson + poisson + poisson,2764.690617668687,False,False
3,500,9,2,poisson + nb2,2765.994620496026,True,True
3,500,10,2,nb2 + poisson,2767.0448044111668,True,True
3,1000,1,2,nb2 + nb2,5417.987808378949,False,True
3,1000,2,2,zip + poisson,5428.890473601719,False,False
3,1000,3,2,poisson + zip,5428.890835049254,False,False
3,1000,4,2,zip + nb2,5434.087037345557,False,False
3,1000,5,2,nb2 + zip,5434.547092223459,False,False
3,1000,6,2,zip + zip,5435.706182798268,False,False
3,1000,7,3,zip + poisson + poisson,5444.695788413539,False,False
3,1000,8,3,poisson + poisson + poisson,5444.889789596713,False,False
3,1000,9,3,zip + poisson + nb2,5449.076270950133,False,False
3,1000,10,3,nb2 + poisson + zip,5449.86280105114,False,False
3,1500,1,2,nb2 + nb2,8181.364488463047,False,True
3,1500,2,2,poisson + zip,8187.620256480492,False,False
3,1500,3,2,zip + poisson,8187.779346539647,False,False
3,1500,4,2,nb2 + zip,8190.562598454309,False,False
3,1500,5,2,zip + nb2,8193.979251324696,False,False
3,1500,6,2,zip + zip,8194.825445621105,False,False
3,1500,7,3,zip + poisson + poisson,8212.143519787565,False,False
3,1500,8,3,poisson + poisson + zip,8219.417460096838,False,False
3,1500,9,3,poisson + zip + poisson,8219.932857571697,False,False
3,1500,10,3,poisson + zip + nb2,8220.722037182786,False,False
4,500,1,2,zip + poisson,2474.225856196995,True,True
4,500,2,2,poisson + zip,2474.3092385507366,True,True
