scenario,example_id,seed,penalty,lambda,l1_ratio,bic,test_ll,time,tpr,fpr,fdr,fnr,mse,selected_size,active_size,tp,fp,fn,tn
B,1,9201,enet,20.0,0.5,4019.0024247879737,-1.8896082064026194,0.771826982498169,1.0,0.6333333333333333,0.6551724137931034,0.0,0.004549276260565034,29,10,10,19,0,11
B,1,9201,enet,50.0,0.5,4087.3254274479473,-1.9872744320503326,0.7042977809906006,1.0,0.1,0.23076923076923078,0.0,0.047763762895348096,13,10,10,3,0,27
B,1,9201,enet,100.0,0.5,4270.916283032889,-2.113362457136301,0.7670986652374268,0.4,0.0,0.0,0.6,0.13313489080969926,4,10,4,0,6,30
B,1,9201,enet,200.0,0.5,4381.8417284033085,-2.176246612899269,0.5338785648345947,0.2,0.0,0.0,0.8,0.1622578130858006,2,10,2,0,8,30
B,2,9202,none,0.0,,2572.886625800413,-1.1879856406802998,1.063772439956665,1.0,1.0,0.75,0.0,0.006064230655512911,40,10,10,30,0,0
B,2,9202,lasso,1.0,,2572.9505733718006,-1.1876699880421433,1.0813298225402832,1.0,1.0,0.75,0.0,0.006064203810275627,40,10,10,30,0,0
B,2,9202,lasso,2.0,,2573.118485439394,-1.1874066981315365,1.1174583435058594,1.0,1.0,0.75,0.0,0.006073081938539835,40,10,10,30,0,0
B,2,9202,lasso,5.0,,2553.304367110545,-1.186999733007889,1.1674020290374756,1.0,0.9,0.7297297297297297,0.0,0.006165475059785463,37,10,10,27,0,3
B,2,9202,lasso,10.0,,2542.155624673515,-1.1874063786181286,1.2118432521820068,1.0,0.8,0.7058823529411765,0.0,0.006417416283867728,34,10,10,24,0,6
B,2,9202,lasso,20.0,,2509.478129115566,-1.1904834126381818,1.486567735671997,1.0,0.6,0.6428571428571429,0.0,0.007376244535212777,28,10,10,18,0,12
B,2,9202,lasso,50.0,,2474.834193074651,-1.2091151677367529,1.2262375354766846,0.9,0.3333333333333333,0.5263157894736842,0.1,0.011797953380985335,19,10,9,10,1,20
B,2,9202,lasso,100.0,,2465.192793575178,-1.2276966340851354,1.1968042850494385,0.6,0.23333333333333334,0.5384615384615384,0.4,0.015377998306286706,13,10,6,7,4,23
B,2,9202,lasso,200.0,,2448.8216308152023,-1.2422179737985175,1.415346384048462,0.6,0.03333333333333333,0.14285714285714285,0.4,0.015525441092907962,7,10,6,1,4,29
B,2,9202,enet,1.0,0.5,2572.9089536830766,-1.1878387338174785,1.0824532508850098,1.0,1.0,0.75,0.0,0.006068451435912163,40,10,10,30,0,0
B,2,9202,enet,2.0,0.5,2572.961002261188,-1.1877069079911176,1.0941102504730225,1.0,1.0,0.75,0.0,0.006075386574612284,40,10,10,30,0,0
B,2,9202,enet,5.0,0.5,2559.4614394139535,-1.1873914625528752,1.1117982864379883,1.0,0.9333333333333333,0.7368421052631579,0.0,0.006116550848814965,38,10,10,28,0,2
B,2,9202,enet,10.0,0.5,2553.4670845677783,-1.1872733467226138,1.1794002056121826,1.0,0.9,0.7297297297297297,0.0,0.00623546278113594,37,10,10,27,0,3
B,2,9202,enet,20.0,0.5,2542.6887182667074,-1.188073104929914,1.2374382019042969,1.0,0.8,0.7058823529411765,0.0,0.006570946919794606,34,10,10,24,0,6
B,2,9202,enet,50.0,0.5,2510.238309619174,-1.195320574404463,1.345618486404419,1.0,0.6,0.6428571428571429,0.0,0.008483075368916366,28,10,10,18,0,12
